,price,typ,lat,lon,beds,baths,sqft,zip code,locality,solddate
"296 Barrett Hill Rd Mahopac, NY 10541","$670,000",SingleFamilyResidence,41.413738,-73.762268,3bd,Error,Error,10541,Mahopac,"JUN 16, 2022"
"72 Geneva Dr Carmel, NY 10512","$475,000",SingleFamilyResidence,41.478786,-73.660973,3bd,Error,Error,10512,Carmel,"JUN 16, 2022"
"28 Woods Way New Fairfield, CT 06812","$599,000",SingleFamilyResidence,41.470322,-73.468857,4bd,Error,Error,06812,New Fairfield,"JUN 16, 2022"
"204 Sharp Hill Rd Wilton, CT 06897","$525,000",SingleFamilyResidence,41.199032,-73.411514,3bd,Error,Error,06897,Wilton,"JUN 16, 2022"
"31 N 3rd St Cortlandt Manor, NY 10567","$530,000",SingleFamilyResidence,41.28495,-73.857758,3bd,Error,Error,10567,Cortlandt Manor,"JUN 16, 2022"
"266 Cutlers Farm Rd Monroe, CT 06468","$610,000",SingleFamilyResidence,41.314079,-73.234573,4bd,Error,Error,06468,Monroe,"JUN 15, 2022"
"86 Rangely Dr Trumbull, CT 06611","$680,000",SingleFamilyResidence,41.249104,-73.232788,4bd,Error,Error,06611,Trumbull,"JUN 15, 2022"
"4 Rockhouse Rd Wilton, CT 06897","$695,000",SingleFamilyResidence,41.232399,-73.433823,4bd,Error,Error,06897,Wilton,"JUN 15, 2022"
"56 Flax Hill Rd Brookfield, CT 06804","$505,000",SingleFamilyResidence,41.473278,-73.422318,4bd,Error,Error,06804,Brookfield,"JUN 15, 2022"
"4 Millbrook Rd Bethel, CT 06801","$637,000",SingleFamilyResidence,41.413712,-73.392899,4bd,Error,Error,06801,Bethel,"JUN 15, 2022"
"11 Old Lantern Pl Norwalk, CT 06851","$635,000",SingleFamilyResidence,41.128666,-73.409317,5bd,Error,Error,06851,Norwalk,"JUN 15, 2022"
"170 Church Rd Putnam Valley, NY 10579","$530,000",SingleFamilyResidence,41.354355,-73.843277,3bd,Error,Error,10579,Putnam Valley,"JUN 15, 2022"
"45 Nichols Rd Brewster, NY 10509","$565,000",SingleFamilyResidence,41.381344,-73.577438,5bd,Error,Error,10509,Brewster,"JUN 15, 2022"
"31 Mahopac Ave Amawalk, NY 10501","$580,000",SingleFamilyResidence,41.291752,-73.767845,3bd,Error,Error,10501,Amawalk,"JUN 15, 2022"
"2529 Route 35 Katonah, NY 10536","$656,000",SingleFamilyResidence,41.286793,-73.758759,4bd,Error,Error,10536,Katonah,"JUN 15, 2022"
"42 Sophia Ln Brewster, NY 10509","$615,000",SingleFamilyResidence,41.446774,-73.625916,3bd,Error,Error,10509,Brewster,"JUN 15, 2022"
"127 Millertown Rd Bedford, NY 10506","$686,000",SingleFamilyResidence,41.211067,-73.601395,3bd,Error,Error,10506,Bedford,"JUN 15, 2022"
"97 Ceil Rd Trumbull, CT 06611","$600,000",SingleFamilyResidence,41.23233,-73.242783,4bd,Error,Error,06611,Trumbull,"JUN 15, 2022"
"6 Parlor Rock Rd Trumbull, CT 06611","$470,000",SingleFamilyResidence,41.282597,-73.229546,3bd,Error,Error,06611,Trumbull,"JUN 15, 2022"
"5 Hazel St Norwalk, CT 06851","$635,000",SingleFamilyResidence,41.129169,-73.402145,4bd,Error,"1,938 sqft",06851,Norwalk,"JUN 15, 2022"
"87 Mitchell Rd Somers, NY 10589","$650,000",SingleFamilyResidence,41.344002,-73.688805,3bd,Error,Error,10589,Somers,"JUN 15, 2022"
"24 Livingston Rd Kent Lakes, NY 10512","$499,000",SingleFamilyResidence,41.476475,-73.660141,3bd,Error,Error,10512,Kent Lakes,"JUN 14, 2022"
"14 Tappan Ter Briarcliff Manor, NY 10510","$625,000",SingleFamilyResidence,41.163727,-73.835449,3bd,Error,Error,10510,Briarcliff Manor,"JUN 14, 2022"
"668 Oscawana Lake Rd Putnam Valley, NY 10579","$532,500",SingleFamilyResidence,41.403965,-73.834114,3bd,Error,Error,10579,Putnam Valley,"JUN 14, 2022"
"2976 Sherman Ct Mohegan Lake, NY 10547","$650,000",SingleFamilyResidence,41.301849,-73.852776,3bd,Error,Error,10547,Mohegan Lake,"JUN 14, 2022"
"300 Balmforth St Bridgeport, CT 06605","$689,000",SingleFamilyResidence,41.149216,-73.231232,4bd,Error,Error,06605,Bridgeport,"JUN 14, 2022"
"17 West St Newtown, CT 06470","$517,500",SingleFamilyResidence,41.411724,-73.311783,4bd,Error,Error,06470,Newtown,"JUN 14, 2022"
"41 Carriage House Dr Danbury, CT 06810","$500,000",SingleFamilyResidence,41.357941,-73.485977,3bd,Error,Error,06810,Danbury,"JUN 14, 2022"
"153 Valley Forge Rd Weston, CT 06883","$695,000",SingleFamilyResidence,41.244049,-73.347382,4bd,Error,Error,06883,Weston,"JUN 14, 2022"
"19 Academy St Pleasantville, NY 10570","$541,000",SingleFamilyResidence,41.138458,-73.78421,3bd,Error,"1,600 sqft",10570,Pleasantville,"JUN 13, 2022"
"6 Bonnie Brae Ave Granite Springs, NY 10527","$600,000",SingleFamilyResidence,41.312283,-73.756493,3bd,Error,Error,10527,Granite Springs,"JUN 13, 2022"
"37 Lincoln Ave Ossining, NY 10562","$455,000",SingleFamilyResidence,41.17358,-73.847588,3bd,Error,Error,10562,Ossining,"JUN 13, 2022"
"4 Saw Mill Ridge Rd Newtown, CT 06470","$515,000",SingleFamilyResidence,41.414322,-73.342293,4bd,Error,Error,06470,Newtown,"JUN 13, 2022"
"138 New Canaan Ave Norwalk, CT 06850","$490,000",SingleFamilyResidence,41.128788,-73.437294,3bd,Error,Error,06850,Norwalk,"JUN 13, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"8 Dry Hill Ct Norwalk, CT 06851","$500,000",SingleFamilyResidence,41.12384,-73.401772,3bd,Error,Error,06851,Norwalk,"JUN 13, 2022"
"15 Hilltop Dr Mahopac, NY 10541","$525,000",SingleFamilyResidence,41.34705,-73.777039,3bd,Error,Error,10541,Mahopac,"JUN 11, 2022"
"42 Lincoln Ave Ossining, NY 10562","$610,000",SingleFamilyResidence,41.174,-73.847969,3bd,Error,Error,10562,Ossining,"JUN 10, 2022"
"15 Elisha Purdy Rd Amawalk, NY 10501","$660,000",SingleFamilyResidence,41.294197,-73.761276,4bd,Error,Error,10501,Amawalk,"JUN 10, 2022"
"4 Orlando Pl Norwalk, CT 06854","$550,000",SingleFamilyResidence,41.105659,-73.446297,4bd,Error,Error,06854,Norwalk,"JUN 10, 2022"
"6 Walker Hill Rd Sandy Hook, CT 06482","$520,000",SingleFamilyResidence,41.370243,-73.222542,4bd,Error,Error,06482,Sandy Hook,"JUN 10, 2022"
"7 Whippoorwill Rd Bethel, CT 06801","$542,600",SingleFamilyResidence,41.368217,-73.397667,4bd,Error,Error,06801,Bethel,"JUN 10, 2022"
"329 Barrack Hill Rd Ridgefield, CT 06877","$680,000",SingleFamilyResidence,41.310314,-73.529549,4bd,Error,Error,06877,Ridgefield,"JUN 10, 2022"
"112 Easton Rd Westport, CT 06880","$621,000",SingleFamilyResidence,41.184288,-73.342285,3bd,Error,Error,06880,Westport,"JUN 10, 2022"
"10 Reservoir Ave Norwalk, CT 06850","$455,500",SingleFamilyResidence,41.118122,-73.425957,3bd,Error,Error,06850,Norwalk,"JUN 10, 2022"
"372C Heritage Hls Somers, NY 10589","$491,000",SingleFamilyResidence,41.342289,-73.703209,2bd,Error,"1,470 sqft (on 1.02 acres)",10589,Somers,"JUN 10, 2022"
"30 Windaway Rd Bethel, CT 06801","$512,000",SingleFamilyResidence,41.376369,-73.377792,3bd,Error,Error,06801,Bethel,"JUN 9, 2022"
"18 Woodbury Dr Danbury, CT 06811","$490,000",SingleFamilyResidence,41.425117,-73.434601,4bd,Error,Error,06811,Danbury,"JUN 9, 2022"
"54 Salem Rd Trumbull, CT 06611","$535,000",SingleFamilyResidence,41.285767,-73.236,4bd,Error,Error,06611,Trumbull,"JUN 9, 2022"
"6 Tommys Ln Norwalk, CT 06850","$695,000",SingleFamilyResidence,41.106392,-73.466255,3bd,Error,Error,06850,Norwalk,"JUN 9, 2022"
"35 Parkhill Ave Norwalk, CT 06851","$599,000",SingleFamilyResidence,41.120743,-73.403717,3bd,Error,Error,06851,Norwalk,"JUN 9, 2022"
"300 Eckart St Bridgeport, CT 06606","$460,000",SingleFamilyResidence,41.22039,-73.235741,5bd,Error,Error,06606,Bridgeport,"JUN 9, 2022"
"277 Tuckahoe Ln Fairfield, CT 06824","$520,000",SingleFamilyResidence,41.173145,-73.253098,3bd,Error,Error,06824,Fairfield,"JUN 9, 2022"
"181 Pleasantville Rd Pleasantville, NY 10570","$589,000",SingleFamilyResidence,41.133495,-73.799309,2bd,Error,Error,10570,Pleasantville,"JUN 9, 2022"
"35 Plum Rd Mahopac, NY 10541","$525,000",SingleFamilyResidence,41.357124,-73.728973,3bd,Error,Error,10541,Mahopac,"JUN 9, 2022"
"31 Dring Ln Putnam Valley, NY 10579","$475,000",SingleFamilyResidence,41.357601,-73.808105,3bd,Error,Error,10579,Putnam Valley,"JUN 9, 2022"
"26 E Starrs Plain Rd Danbury, CT 06810","$599,900",SingleFamilyResidence,41.333057,-73.458282,4bd,Error,Error,06810,Danbury,"JUN 8, 2022"
"6 Fullmar Ln Norwalk, CT 06850","$675,000",SingleFamilyResidence,41.137802,-73.44825,3bd,Error,Error,06850,Norwalk,"JUN 8, 2022"
"2 E Lake Rd New Fairfield, CT 06812","$601,000",SingleFamilyResidence,41.458252,-73.505905,4bd,Error,Error,06812,New Fairfield,"JUN 8, 2022"
"5 Whippoorwill Ln Weston, CT 06883","$690,000",SingleFamilyResidence,41.242142,-73.409309,4bd,Error,Error,06883,Weston,"JUN 8, 2022"
"178 Mather St Wilton, CT 06897","$603,000",SingleFamilyResidence,41.242474,-73.431541,3bd,Error,Error,06897,Wilton,"JUN 8, 2022"
"1428 High Ridge Rd Stamford, CT 06903","$680,000",SingleFamilyResidence,41.119762,-73.544426,3bd,Error,Error,06903,Stamford,"JUN 8, 2022"
"36 Lawrence St Mount Kisco, NY 10549","$480,000",SingleFamilyResidence,41.194008,-73.729355,2bd,Error,Error,10549,Mount Kisco,"JUN 8, 2022"
"2877 Lexington Ave Mohegan Lake, NY 10547","$575,000",SingleFamilyResidence,41.298943,-73.856674,3bd,Error,Error,10547,Mohegan Lake,"JUN 8, 2022"
"21 Clinton St E Valhalla, NY 10595","$592,000",SingleFamilyResidence,41.08128,-73.776001,3bd,Error,Error,10595,Valhalla,"JUN 8, 2022"
"39 Maher Dr Norwalk, CT 06850","$460,000",SingleFamilyResidence,41.121536,-73.438324,3bd,Error,Error,06850,Norwalk,"JUN 8, 2022"
"60 Old Hawleyville Rd Bethel, CT 06801","$450,000",SingleFamilyResidence,41.391884,-73.374115,3bd,Error,Error,06801,Bethel,"JUN 8, 2022"
"105 Pearsall Pl Bridgeport, CT 06605","$620,000",SingleFamilyResidence,41.149822,-73.22818,3bd,Error,Error,06605,Bridgeport,"JUN 8, 2022"
"1 Briar Patch Ln Danbury, CT 06811","$565,000",SingleFamilyResidence,41.427162,-73.502029,4bd,Error,Error,06811,Danbury,"JUN 7, 2022"
"247 Pastors Walk Monroe, CT 06468","$455,000",SingleFamilyResidence,41.346363,-73.275764,3bd,Error,Error,06468,Monroe,"JUN 7, 2022"
"73 Fair St Carmel, NY 10512","$492,500",SingleFamilyResidence,41.429733,-73.670914,3bd,Error,Error,10512,Carmel,"JUN 7, 2022"
"102 Fuller Rd Briarcliff Manor, NY 10510","$685,000",SingleFamilyResidence,41.159233,-73.830719,4bd,Error,Error,10510,Briarcliff Manor,"JUN 7, 2022"
"19 Glendenning St Norwalk, CT 06851","$492,000",SingleFamilyResidence,41.127357,-73.40876,2bd,Error,Error,06851,Norwalk,"JUN 7, 2022"
"9 Bragdon Ave Danbury, CT 06811","$700,000",SingleFamilyResidence,41.423424,-73.509102,4bd,Error,Error,06811,Danbury,"JUN 7, 2022"
"416 Upper Haig Ave Stamford, CT 06907","$700,000",SingleFamilyResidence,41.098141,-73.527946,4bd,Error,Error,06907,Stamford,"JUN 7, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"6 Elizabeth Dr North Salem, NY 10560","$659,000",SingleFamilyResidence,41.339432,-73.609467,4bd,Error,Error,10560,North Salem,"JUN 6, 2022"
"69 Buck Hill Rd Ridgefield, CT 06877","$680,000",SingleFamilyResidence,41.318516,-73.484047,3bd,Error,Error,06877,Ridgefield,"JUN 6, 2022"
"16 Eldridge Ave Ossining, NY 10562","$700,000",SingleFamilyResidence,41.164215,-73.850418,4bd,Error,Error,10562,Ossining,"JUN 6, 2022"
"81 Bloomer Rd Mahopac, NY 10541","$595,137",SingleFamilyResidence,41.357265,-73.745163,3bd,Error,Error,10541,Mahopac,"JUN 6, 2022"
"8 Tina Dr Mahopac, NY 10541","$607,500",SingleFamilyResidence,41.359837,-73.731895,3bd,Error,Error,10541,Mahopac,"JUN 6, 2022"
"34 Crest Rd Ridgefield, CT 06877","$499,000",SingleFamilyResidence,41.337166,-73.493912,4bd,Error,Error,06877,Ridgefield,"JUN 6, 2022"
"11 Carla Dr Danbury, CT 06811","$700,000",SingleFamilyResidence,41.417015,-73.437141,4bd,Error,Error,06811,Danbury,"JUN 6, 2022"
"17 Mount Hope Rd Mahopac, NY 10541","$475,000",SingleFamilyResidence,41.36882,-73.731789,2bd,Error,Error,10541,Mahopac,"JUN 6, 2022"
"34 Narragansett Ave Ossining, NY 10562","$525,000",SingleFamilyResidence,41.173779,-73.843262,2bd,Error,Error,10562,Ossining,"JUN 6, 2022"
"11 Frances Pl Pleasantville, NY 10570","$585,000",SingleFamilyResidence,41.126564,-73.78714,3bd,Error,"1,900 sqft",10570,Pleasantville,"JUN 6, 2022"
"286 Gilman St Bridgeport, CT 06605","$615,000",SingleFamilyResidence,41.15287,-73.231186,4bd,Error,Error,06605,Bridgeport,"JUN 6, 2022"
"15 W Shore Dr Putnam Valley, NY 10579","$650,000",SingleFamilyResidence,41.383621,-73.858879,3bd,Error,Error,10579,Putnam Valley,"JUN 4, 2022"
"16 High Meadow Ln Brookfield, CT 06804","$670,000",SingleFamilyResidence,41.439323,-73.373535,4bd,Error,Error,06804,Brookfield,"JUN 3, 2022"
"8 Queens Ct Danbury, CT 06811","$570,000",SingleFamilyResidence,41.43145,-73.497589,3bd,Error,Error,06811,Danbury,"JUN 3, 2022"
"41 Berrian Rd Stamford, CT 06905","$590,000",SingleFamilyResidence,41.092258,-73.544098,3bd,Error,"1,930 sqft (on 0.30 acres)",06905,Stamford,"JUN 3, 2022"
"17 Deer Ridge Rd Mount Kisco, NY 10549","$535,000",SingleFamilyResidence,41.21933,-73.733109,2bd,Error,Error,10549,Mount Kisco,"JUN 3, 2022"
"31 Leonard St Mount Kisco, NY 10549","$700,000",SingleFamilyResidence,41.204472,-73.720634,3bd,Error,Error,10549,Mount Kisco,"JUN 3, 2022"
"9 Indian Hill Rd Bedford, NY 10506","$549,000",SingleFamilyResidence,41.202488,-73.635612,2bd,Error,Error,10506,Bedford,"JUN 3, 2022"
"204 Sandpiper Ct Yorktown Heights, NY 10598","$630,000",SingleFamilyResidence,41.316322,-73.808815,3bd,Error,Error,10598,Yorktown Heights,"JUN 3, 2022"
"122 Dahlia Dr Mahopac, NY 10541","$620,000",SingleFamilyResidence,41.361073,-73.735085,3bd,Error,Error,10541,Mahopac,"JUN 3, 2022"
"12 Mohawk Ln Yorktown Heights, NY 10598","$650,000",SingleFamilyResidence,41.324692,-73.752449,4bd,Error,Error,10598,Yorktown Heights,"JUN 3, 2022"
"59 Ridgeview Ave Trumbull, CT 06611","$515,000",SingleFamilyResidence,41.267231,-73.230652,3bd,Error,Error,06611,Trumbull,"JUN 3, 2022"
"26 Shut Rd Newtown, CT 06470","$520,000",SingleFamilyResidence,41.364979,-73.348686,4bd,Error,Error,06470,Newtown,"JUN 3, 2022"
"256 Fillow St Norwalk, CT 06850","$620,000",SingleFamilyResidence,41.11512,-73.45797,3bd,Error,Error,06850,Norwalk,"JUN 3, 2022"
"68 Whipstick Rd Wilton, CT 06897","$455,000",SingleFamilyResidence,41.240837,-73.461914,2bd,Error,Error,06897,Wilton,"JUN 3, 2022"
"29 Cooper Hill Rd Ridgefield, CT 06877","$640,600",SingleFamilyResidence,41.275578,-73.466484,4bd,Error,Error,06877,Ridgefield,"JUN 3, 2022"
"213 California Rd Yorktown Heights, NY 10598","$650,000",SingleFamilyResidence,41.260651,-73.775047,3bd,Error,Error,10598,Yorktown Heights,"JUN 3, 2022"
"4 Great Ring Rd Sandy Hook, CT 06482","$675,000",SingleFamilyResidence,41.390808,-73.224426,3bd,Error,Error,06482,Sandy Hook,"JUN 3, 2022"
"7 Hillcrest Dr Briarcliff Manor, NY 10510","$660,000",SingleFamilyResidence,41.163021,-73.820808,5bd,Error,Error,10510,Briarcliff Manor,"JUN 2, 2022"
"434 Limestone Rd Ridgefield, CT 06877","$585,000",SingleFamilyResidence,41.334763,-73.494293,3bd,Error,Error,06877,Ridgefield,"JUN 2, 2022"
"56 Blackhouse Rd Trumbull, CT 06611","$700,000",SingleFamilyResidence,41.242928,-73.224464,4bd,Error,Error,06611,Trumbull,"JUN 2, 2022"
"340 Anton Dr Bridgeport, CT 06606","$460,000",SingleFamilyResidence,41.222298,-73.220558,3bd,Error,Error,06606,Bridgeport,"JUN 2, 2022"
"21 Briar Ridge Rd Ridgefield, CT 06877","$675,000",SingleFamilyResidence,41.364677,-73.503891,3bd,Error,"4,451 sqft (on 2.71 acres)",06877,Ridgefield,"JUN 2, 2022"
"30 Martin Rd Ossining, NY 10562","$481,000",SingleFamilyResidence,41.153957,-73.857399,4bd,Error,Error,10562,Ossining,"JUN 2, 2022"
"521 Marietta Ave Hawthorne, NY 10532","$660,000",SingleFamilyResidence,41.113159,-73.791206,3bd,Error,Error,10532,Hawthorne,"JUN 2, 2022"
"11 Meadow Park Rd Baldwin Place, NY 10505","$685,000",SingleFamilyResidence,41.340603,-73.753685,3bd,Error,Error,10505,Baldwin Place,"JUN 2, 2022"
"145 Vesper St Fairfield, CT 06825","$540,000",SingleFamilyResidence,41.179886,-73.234772,3bd,Error,Error,06825,Fairfield,"JUN 2, 2022"
"33 Reef Ct Fairfield, CT 06824","$625,000",SingleFamilyResidence,41.134014,-73.252357,3bd,Error,Error,06824,Fairfield,"JUN 2, 2022"
"64 1/2 Greenwood Ave Bethel, CT 06801","$515,000",SingleFamilyResidence,41.370609,-73.40583,5bd,Error,"2,688 sqft (on 1.31 acres)",06801,Bethel,"JUN 2, 2022"
"31 Everett Rd Carmel, NY 10512","$495,000",SingleFamilyResidence,41.425465,-73.664612,4bd,Error,Error,10512,Carmel,"JUN 1, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"6 Ridgeside Rd Danbury, CT 06811","$615,000",SingleFamilyResidence,41.419693,-73.443352,5bd,Error,Error,06811,Danbury,"JUN 1, 2022"
"29 N Pleasant Rise Brookfield, CT 06804","$519,000",SingleFamilyResidence,41.459347,-73.416298,3bd,Error,Error,06804,Brookfield,"JUN 1, 2022"
"64 Possum Dr New Fairfield, CT 06812","$458,000",SingleFamilyResidence,41.458431,-73.471123,3bd,Error,Error,06812,New Fairfield,"JUN 1, 2022"
"10 Haviland Rd Stamford, CT 06903","$589,000",SingleFamilyResidence,41.13361,-73.558861,3bd,Error,Error,06903,Stamford,"JUN 1, 2022"
"Address Not Disclosed Trumbull, CT 06611","$570,000",SingleFamilyResidence,41.247665,-73.220001,4bd,Error,Error,06611,Trumbull,"JUN 1, 2022"
"77 Hirsch Rd Stamford, CT 06905","$551,000",SingleFamilyResidence,41.081593,-73.53756,3bd,Error,Error,06905,Stamford,"JUN 1, 2022"
"29 Lockwood Rd Fairfield, CT 06825","$550,000",SingleFamilyResidence,41.195457,-73.24044,3bd,Error,"1,810 sqft (on 0.40 acres)",06825,Fairfield,"JUN 1, 2022"
"13 Birch Rd Danbury, CT 06811","$501,000",SingleFamilyResidence,41.430759,-73.516548,3bd,Error,Error,06811,Danbury,"JUN 1, 2022"
"17 Christy St Norwalk, CT 06850","$558,500",SingleFamilyResidence,41.113525,-73.429329,5bd,Error,Error,06850,Norwalk,"JUN 1, 2022"
"16 Lorena St Norwalk, CT 06855","$675,000",SingleFamilyResidence,41.099777,-73.399513,3bd,Error,Error,06855,Norwalk,"JUN 1, 2022"
"36A Golden Hill Rd Danbury, CT 06811","$685,000",SingleFamilyResidence,41.409351,-73.464714,4bd,Error,Error,06811,Danbury,"JUN 1, 2022"
"62 Valley Rd Carmel, NY 10512","$500,000",SingleFamilyResidence,41.367569,-73.689171,3bd,Error,Error,10512,Carmel,"MAY 31, 2022"
"68 Mountain Brook Dr Brewster, NY 10509","$475,000",SingleFamilyResidence,41.41396,-73.54789,3bd,Error,Error,10509,Brewster,"MAY 31, 2022"
"12 Christy St Norwalk, CT 06850","$650,000",SingleFamilyResidence,41.113529,-73.428268,5bd,Error,Error,06850,Norwalk,"MAY 31, 2022"
"2 Harvey St Norwalk, CT 06855","$575,000",SingleFamilyResidence,41.100487,-73.408813,3bd,Error,Error,06855,Norwalk,"MAY 31, 2022"
"8 Arbor Ct Norwalk, CT 06854","$530,000",SingleFamilyResidence,41.09338,-73.429848,3bd,Error,Error,06854,Norwalk,"MAY 31, 2022"
"195 Deer Run Rd Wilton, CT 06897","$700,000",SingleFamilyResidence,41.239464,-73.466965,4bd,Error,Error,06897,Wilton,"MAY 31, 2022"
"2 Guernsey Rd Brookfield, CT 06804","$485,000",SingleFamilyResidence,41.429901,-73.376541,2bd,Error,Error,06804,Brookfield,"MAY 31, 2022"
"7 Benedict Rd Bethel, CT 06801","$589,000",SingleFamilyResidence,41.403374,-73.393745,4bd,Error,Error,06801,Bethel,"MAY 31, 2022"
"145 Wendy Rd Trumbull, CT 06611","$620,000",SingleFamilyResidence,41.230949,-73.243164,3bd,Error,Error,06611,Trumbull,"MAY 31, 2022"
"27 Whittier Hills Rd North Salem, NY 10560","$531,000",SingleFamilyResidence,41.310642,-73.659332,3bd,Error,Error,10560,North Salem,"MAY 31, 2022"
"28 Eversley Ave Norwalk, CT 06851","$510,000",SingleFamilyResidence,41.111012,-73.404541,2bd,Error,Error,06851,Norwalk,"MAY 31, 2022"
"445 Crow Hill Rd Mount Kisco, NY 10549","$485,000",SingleFamilyResidence,41.225693,-73.765373,4bd,Error,"1,456 sqft (on 4.08 acres)",10549,Mount Kisco,"MAY 31, 2022"
"11 Francis Pl Pleasantville, NY 10570","$585,000",SingleFamilyResidence,41.126564,-73.78714,3bd,Error,Error,10570,Pleasantville,"MAY 27, 2022"
"2683 Cecile Dr Yorktown Heights, NY 10598","$575,000",SingleFamilyResidence,41.299042,-73.806999,3bd,Error,Error,10598,Yorktown Heights,"MAY 27, 2022"
"1 Tamarack Rd Newtown, CT 06470","$500,000",SingleFamilyResidence,41.443634,-73.312202,3bd,Error,Error,06470,Newtown,"MAY 27, 2022"
"30 Alpine Cir Sandy Hook, CT 06482","$505,000",SingleFamilyResidence,41.424763,-73.244415,3bd,Error,Error,06482,Sandy Hook,"MAY 27, 2022"
"84 Coughlin Dr Southbury, CT 06488","$610,000",SingleFamilyResidence,41.478607,-73.259125,4bd,Error,Error,06488,Southbury,"MAY 27, 2022"
"648 E Main St Jefferson Valley, NY 10535","$492,000",SingleFamilyResidence,41.333321,-73.809166,3bd,Error,Error,10535,Jefferson Valley,"MAY 27, 2022"
"6 Prudence Dr Stamford, CT 06907","$633,000",SingleFamilyResidence,41.099548,-73.520592,4bd,Error,Error,06907,Stamford,"MAY 27, 2022"
"16 Apache Dr Brookfield, CT 06804","$480,000",SingleFamilyResidence,41.468788,-73.362587,4bd,Error,Error,06804,Brookfield,"MAY 27, 2022"
"10 Lounsbury Dr Baldwin Place, NY 10505","$615,000",SingleFamilyResidence,41.344822,-73.748711,4bd,Error,Error,10505,Baldwin Place,"MAY 27, 2022"
"2 Brookside Dr Yorktown Heights, NY 10598","$580,000",SingleFamilyResidence,41.325577,-73.739563,5bd,Error,Error,10598,Yorktown Heights,"MAY 27, 2022"
"16 Heath Rd Valhalla, NY 10595","$675,000",SingleFamilyResidence,41.097,-73.767097,3bd,Error,"1,616 sqft (on 0.34 acres)",10595,Valhalla,"MAY 27, 2022"
"13 Ridge Rd Danbury, CT 06810","$650,000",SingleFamilyResidence,41.386665,-73.474182,4bd,Error,Error,06810,Danbury,"MAY 27, 2022"
"35 Wood Ave Trumbull, CT 06611","$589,000",SingleFamilyResidence,41.254921,-73.225151,3bd,Error,Error,06611,Trumbull,"MAY 27, 2022"
"205 Hanover Rd Newtown, CT 06470","$665,000",SingleFamilyResidence,41.46983,-73.332474,4bd,Error,Error,06470,Newtown,"MAY 27, 2022"
"9 N Hearthstone Dr Bethel, CT 06801","$550,000",SingleFamilyResidence,41.408627,-73.396065,4bd,Error,Error,06801,Bethel,"MAY 27, 2022"
"35 Kingswood Rd Danbury, CT 06811","$466,000",SingleFamilyResidence,41.43745,-73.50901,3bd,Error,Error,06811,Danbury,"MAY 27, 2022"
"51 Saddle Rock Rd Danbury, CT 06811","$601,000",SingleFamilyResidence,41.426418,-73.49617,4bd,Error,Error,06811,Danbury,"MAY 27, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"28 Van Ness St Norwalk, CT 06850","$675,000",SingleFamilyResidence,41.119034,-73.431793,5bd,Error,Error,06850,Norwalk,"MAY 27, 2022"
"8 Vista Dr Brookfield, CT 06804","$475,000",SingleFamilyResidence,41.474384,-73.429817,3bd,Error,Error,06804,Brookfield,"MAY 27, 2022"
"1149 Long Ridge Rd Stamford, CT 06903","$670,000",SingleFamilyResidence,41.107563,-73.568771,3bd,Error,Error,06903,Stamford,"MAY 27, 2022"
"376 Manhattan Ave Hawthorne, NY 10532","$585,000",SingleFamilyResidence,41.109371,-73.790771,3bd,Error,Error,10532,Hawthorne,"MAY 26, 2022"
"129 Alberta St Fairfield, CT 06825","$595,000",SingleFamilyResidence,41.202969,-73.225288,4bd,Error,Error,06825,Fairfield,"MAY 26, 2022"
"23 Marlin Dr Norwalk, CT 06854","$509,900",SingleFamilyResidence,41.112194,-73.435242,4bd,Error,Error,06854,Norwalk,"MAY 26, 2022"
"38 Bull Frog Ln Trumbull, CT 06611","$700,000",SingleFamilyResidence,41.27536,-73.256248,3bd,Error,Error,06611,Trumbull,"MAY 26, 2022"
"3885 Ettman St Shrub Oak, NY 10588","$540,000",SingleFamilyResidence,41.335938,-73.840324,3bd,Error,Error,10588,Shrub Oak,"MAY 26, 2022"
"2 Juengst Rd Croton Falls, NY 10519","$600,000",SingleFamilyResidence,41.353287,-73.657661,3bd,Error,Error,10519,Croton Falls,"MAY 26, 2022"
"12 Winnipauk Dr Norwalk, CT 06851","$640,000",SingleFamilyResidence,41.139759,-73.418793,4bd,Error,Error,06851,Norwalk,"MAY 26, 2022"
"115 Marsh Dr Fairfield, CT 06824","$525,000",SingleFamilyResidence,41.168972,-73.247948,3bd,Error,"1,342 sqft (on 0.35 acres)",06824,Fairfield,"MAY 26, 2022"
"46 Winding Ln Norwalk, CT 06851","$575,000",SingleFamilyResidence,41.145168,-73.412628,3bd,Error,Error,06851,Norwalk,"MAY 26, 2022"
"2798 Holly Dr Yorktown Heights, NY 10598","$550,000",SingleFamilyResidence,41.302082,-73.81002,3bd,Error,Error,10598,Yorktown Heights,"MAY 26, 2022"
